land_id,citizen_id,area_acres,crop_type
01JJGSF4ZVN311X58PJ749FXRE,48,8,cotton
01JJGSF4ZX50AJSNGG8CXFFQJ2,21,3,rice
01JJGSF4ZYDQ7Y7GAE4RWEJP9K,71,5,cotton
01JJGSF4ZYV4YWTY5KDR9VXEQ6,91,10,wheat
01JJGSF4ZZ4TZAQNYVRXPDM9R1,92,2,rice
01JJGSF500R3EQP2XBGP7KEC3G,31,1,cotton
01JJGSF501M7G0BW50PJDF4Y6Z,36,1,corn
01JJGSF5020YRBE8JQYPC3X4XM,40,2,rice
01JJGSF503GSB7900SWQ66X2KM,3,8,cotton
01JJGSF5041E4ZS9GBMDJE52AM,95,3,rice
01JJGSF504VGVC7CWP70BM2XPD,12,1,cotton
01JJGSF50542JSEGJK73JHHX7R,75,10,rice
01JJGSF505NFW2X94C8FJD4EH6,64,10,rice
01JJGSF5060Q161JX27DNVT278,87,1,cotton
01JJGSF5069DBZEMZ60493EGCH,93,8,cotton
01JJGSF507MRQ5HM01RJJ3WY7F,3,3,corn
01JJGSF5075851K78X8Z13DTWY,10,6,cotton
01JJGSF50767SVKGQE0EY6DKGB,69,7,rice
01JJGSF5087N7NRME5HGCXM517,62,9,rice
01JJGSF508B8YZKEVQRA9845N1,1,2,cotton
01JJGSF508426B1K3B4ANBC081,45,10,rice
01JJGSF5097C49VV0ABA4T33AV,52,4,rice
01JJGSF5094ZGM661TKZY7N9NQ,1,2,rice
01JJGSF50ATPQAGKY6S7NMTDQ4,68,8,cotton
01JJGSF50AY73YZYZY4QJ7QXC3,31,6,rice
01JJGSF50AB8DDCPH8MYJY4QPQ,64,3,wheat
01JJGSF50BFEYDWYSGKFVJNRA4,26,7,corn
01JJGSF50BR7QYM6FRVRG4ZQA3,46,9,corn
01JJGSF50C0JWZ71X7EF48TYKZ,85,3,rice
01JJGSF50D2NECHEY95S5ZRS24,89,9,cotton
01JJGSF50D5C38FPK65R30T87H,9,9,cotton
01JJGSF50EG19CFAWDHJS0FJQ8,61,9,wheat
01JJGSF50EK3QAZMJB4MQWYKRC,44,3,cotton
01JJGSF50FQP3V43X0S8J2BV9H,22,3,rice
01JJGSF50FGP3NTGGGYWVFRBB9,79,8,corn
01JJGSF50F7AM9Q4MRXEXMR0PX,4,10,corn
01JJGSF50GBYNREZ0RJ8FAD8CV,5,8,corn
01JJGSF50GZ3WJFCVF9D76B9F8,54,1,wheat
01JJGSF50HT8HRMWBD79AZKHQC,31,6,rice
01JJGSF50H5JMQC3F8E905FF7T,77,10,corn
01JJGSF50JWK5AWDM05BV6J1JS,80,10,rice
01JJGSF50JF0CGY2T08W0VMX9V,64,9,corn
01JJGSF50KZDKT6FNZDPKYB76E,38,3,rice
01JJGSF50MQFHPVSDGM2Y70H6Q,3,10,wheat
01JJGSF50MENGER9FE207W7B6T,86,3,corn
01JJGSF50NWWHA60E47AVRKPMF,93,4,corn
01JJGSF50PPGW05A2SS4TEGCZZ,32,10,cotton
01JJGSF50QVCJHBNHN73XRRRB7,31,9,rice
01JJGSF50R6CJS7AVHB0G1M3ZD,57,3,wheat
01JJGSF50SNVX94EY6J6S65KS3,100,9,wheat
01JJGSF50T2AAQZB5CVRKG3T3F,24,7,corn
01JJGSF50V5VDWQ8R56FQ1NM73,10,6,rice
01JJGSF50WTS8E46P932W9P228,77,5,wheat
01JJGSF50WBQ6VTQR7GDZV69VH,52,8,corn
01JJGSF50X13H0G5331EF4W46P,20,5,cotton
01JJGSF50XAK5J86AK0KM5BA3H,32,9,cotton
01JJGSF50YFCG5JZ4JK2W7SBMB,10,2,rice
01JJGSF5104X1GB1EWYNV79Z6M,38,2,rice
01JJGSF510E9MSVT74EAVPH5CK,18,6,wheat
01JJGSF510KXETE500DDBMGD3X,96,10,rice
01JJGSF51179WVMJSK4BKBNW27,71,10,corn
01JJGSF51171259NXTW091QTR2,63,3,rice
01JJGSF511PK5624A225J7991M,83,8,corn
01JJGSF512J5NRR8MQZC9FE5T2,57,3,cotton
01JJGSF512TT7K1YMA76S0YYX3,88,6,cotton
01JJGSF5130DKHC9HFD0B1T32W,66,5,cotton
01JJGSF514V14TX3WVEPA50HN2,37,9,rice
01JJGSF5148ETSGT546YDJR95N,55,10,corn
01JJGSF5147W7KXCXHKD7SPQHH,73,10,corn
01JJGSF51505FWQ8QMQAQ21KDF,1,5,corn
01JJGSF515RJM9TBJMWW5PB6TA,4,3,rice
01JJGSF5154CA8BJ4MWDJFV8TS,56,3,cotton
01JJGSF516GKG52XFDB7WRGKD3,77,1,wheat
01JJGSF5160GRE4H9PMQZYA179,13,4,cotton
01JJGSF517J1SFSZ35TNAZTGBK,79,4,corn
01JJGSF517YZKMWB5EMWR0G8NV,27,7,wheat
01JJGSF517V6Z83DGDBATJKHYD,54,3,rice
01JJGSF51875XP2WMYR59EPWC5,71,5,cotton
01JJGSF5184TVBYRFY7W7K6H0N,39,8,wheat
01JJGSF51989X5HE6FKFK1Z9VD,97,2,wheat
01JJGSF519C9R70786HAHJJJGH,48,1,corn
01JJGSF519T93G5EXGDQGP2FV7,92,5,cotton
01JJGSF51AYZJGFS33XPMN3NX2,99,2,rice
01JJGSF51AV8GKEH66P9SS82HS,50,10,rice
01JJGSF51A41SYGTK4RMNR964Q,78,10,rice
01JJGSF51BVA5MY1DMDB2KXZE2,83,9,rice
01JJGSF51B85JQ8WB365DQ7VFK,33,4,cotton
01JJGSF51CJXT1AAD56YXCKEH6,78,5,cotton
01JJGSF51CDWB020MSQT6KB4F0,3,7,corn
01JJGSF51DYZ88DWTM7Q6BXJG6,63,6,wheat
01JJGSF51D9ATMW19XRCT9V2PR,27,7,wheat
01JJGSF51EKXHS0J8PNGRRZQ5M,73,10,rice
01JJGSF51ENJ2D3BH6PMA1YHGW,35,8,wheat
01JJGSF51ENFT8AA3RCN24PHDN,1,1,corn
01JJGSF51F3TXPPTP50TEPDRXT,36,7,wheat
01JJGSF51GD409EZFM4KPE2TB5,25,10,rice
01JJGSF51GQ9M6WK3KFRM740NV,17,9,rice
01JJGSF51HKAD49X3C1TXC5F9M,15,10,cotton
01JJGSF51HJQE7XWSCMM95PRES,63,3,corn
01JJGSF51HR1RN3KVWG5FF02ZK,81,8,corn
